formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2017,3,ADBE,76.8,61.5,92.0,0.8889,ROIC,7,0.5,2017-07-03,138.41,2018-07-02,243.26,0.7575
2017,4,CRM,92.9,97.0,88.8,0.7778,"ROIC, EPS CAGR",1,0.0,2017-07-03,84.6358,2018-07-02,138.0418,0.631
2017,5,NVDA,60.0,36.2,83.8,0.7778,"FCF Margin, FCF Conversion",6,0.8,2017-07-03,3.435,2018-07-02,5.989,0.7435
2017,6,INTU,47.4,12.0,82.8,1.0,,3,1.0,2017-07-03,122.7494,2018-07-02,193.4354,0.5759
2017,7,MA,54.4,27.3,81.5,1.0,,7,1.0,2017-07-03,114.5547,2018-07-02,188.6795,0.6471
2017,8,AMZN,65.0,50.0,80.0,0.8889,EPS CAGR,7,0.6667,2017-07-03,47.683,2018-07-02,85.689,0.7971
2017,9,TXN,53.6,27.8,79.4,0.7778,"FCF Margin, FCF Conversion",6,1.0,2017-07-03,59.301,2018-07-02,87.6323,0.4778
2017,10,SBUX,77.1,76.7,77.5,1.0,,6,0.0,2017-07-03,47.5804,2018-07-02,40.9002,-0.1404
2018,1,LRCX,87.8,80.4,95.3,0.7778,"FCF Margin, FCF Conversion",7,0.0,2018-07-02,15.5362,2019-07-01,17.6249,0.1344
2018,2,NVDA,86.5,77.8,95.3,0.7778,"FCF Margin, FCF Conversion",7,0.1667,2018-07-02,5.989,2019-07-01,4.1236,-0.3115
2018,3,META,87.5,79.9,95.0,0.8889,ROIC,6,0.0,2018-07-02,195.642,2019-07-01,191.3199,-0.0221
2018,4,ADBE,83.0,72.0,94.0,0.8889,ROIC,8,0.2857,2018-07-02,243.26,2019-07-01,300.97,0.2372
2018,5,INTU,67.5,41.7,93.3,1.0,,4,0.6667,2018-07-02,193.4354,2019-07-01,250.7986,0.2965
2018,6,ASML,82.9,76.1,89.7,0.7778,"FCF Margin, FCF Conversion",7,0.3333,2018-07-02,181.1799,2019-07-01,201.814,0.1139
2018,7,TXN,88.7,93.0,84.4,0.7778,"FCF Margin, FCF Conversion",7,0.0,2018-07-02,87.6323,2019-07-01,95.831,0.0936
2018,8,KLAC,76.2,71.2,81.3,0.8889,ROIC,8,0.2857,2018-07-02,9.2683,2019-07-01,11.1829,0.2066
2018,9,SBUX,60.5,40.1,81.0,1.0,,7,0.6667,2018-07-02,40.9002,2019-07-01,72.0644,0.762
2018,10,V,69.7,61.6,77.8,1.0,,8,0.5714,2018-07-02,125.024,2019-07-01,165.2087,0.3214
2019,1,NVDA,55.3,14.3,96.3,0.7778,"FCF Margin, FCF Conversion",8,1.0,2019-07-01,4.1236,2020-07-01,9.4861,1.3004
2019,2,LRCX,74.2,53.1,95.3,0.7778,"FCF Margin, FCF Conversion",8,0.7143,2019-07-01,17.6249,2020-07-01,29.8124,0.6915
2019,3,INTU,70.8,46.7,94.8,1.0,,5,0.75,2019-07-01,250.7986,2020-07-01,289.501,0.1543
2019,4,META,85.8,77.6,94.0,0.8889,ROIC,7,0.1667,2019-07-01,191.3199,2020-07-01,235.4821,0.2308
2019,5,ADBE,75.3,56.6,94.0,0.8889,ROIC,9,0.625,2019-07-01,300.97,2020-07-01,439.81,0.4613
2019,6,V,65.5,38.6,92.5,1.0,,9,0.875,2019-07-01,165.2087,2020-07-01,185.2042,0.121
2019,7,MSFT,72.2,52.4,92.0,1.0,,8,0.7143,2019-07-01,127.3953,2020-07-01,194.566,0.5273
2019,8,MA,69.2,46.7,91.8,0.6667,"ROIC, FCF Margin, FCF Conversion",9,0.75,2019-07-01,256.0507,2020-07-01,290.6061,0.135
2019,9,KLAC,56.3,22.6,90.0,0.8889,ROIC,9,1.0,2019-07-01,11.1829,2020-07-01,18.1063,0.6191
2019,10,ASML,54.2,18.6,89.7,0.7778,"FCF Margin, FCF Conversion",8,1.0,2019-07-01,201.814,2020-07-01,348.3472,0.7261
2020,1,ADBE,80.3,64.4,96.3,1.0,,10,0.4444,2020-07-01,439.81,2021-07-01,584.73,0.3295
2020,2,INTU,59.5,24.1,94.8,1.0,,6,0.8,2020-07-01,289.501,2021-07-01,472.8927,0.6335
2020,3,V,57.2,23.5,91.0,1.0,,10,1.0,2020-07-01,185.2042,2021-07-01,226.1001,0.2208
2020,4,MA,55.5,19.9,91.0,1.0,,10,1.0,2020-07-01,290.6061,2021-07-01,359.4825,0.237
2020,5,MSFT,68.0,45.5,90.5,1.0,,9,0.75,2020-07-01,194.566,2021-07-01,260.6537,0.3397
2020,6,GOOGL,72.7,57.3,88.0,1.0,,12,0.6364,2020-07-01,71.4663,2021-07-01,121.3683,0.6983
2020,7,ASML,51.1,17.3,85.0,1.0,,9,1.0,2020-07-01,348.3472,2021-07-01,648.1169,0.8605
2020,8,TXN,56.1,28.2,84.0,1.0,,9,1.0,2020-07-01,104.9975,2021-07-01,164.7168,0.5688
