formation_year,contribution_date,contribution_value,portfolio_value_before,portfolio_value_after_contribution,portfolio_value_end,benchmark_value_before,benchmark_value_after_contribution,benchmark_value_end
2020,2020-06-01,1.0,48.9482,49.9482,51.8895,41.0345,42.0345,45.4307
2020,2020-08-01,1.0,51.8895,52.8895,53.1474,45.4307,46.4307,47.7863
2020,2020-10-01,1.0,53.1474,54.1474,56.6146,47.7863,48.7863,52.9811
2020,2020-12-01,1.0,56.6146,57.6146,59.0683,52.9811,53.9811,55.7234
2020,2021-02-01,1.0,59.0683,60.0683,66.1578,55.7234,56.7234,60.597
2021,2021-04-01,1.0,66.1578,67.1578,72.1592,60.597,61.597,64.5276
2021,2021-06-01,1.0,72.1592,73.1592,80.1808,64.5276,65.5276,68.5492
2021,2021-08-01,1.0,80.1808,81.1808,80.4027,68.5492,69.5492,69.2378
2021,2021-10-01,1.0,80.4027,81.4027,83.2784,69.2378,70.2378,72.8679
2021,2021-12-01,1.0,83.2784,84.2784,81.1948,72.8679,73.8679,74.5305
2021,2022-02-01,1.0,81.1948,82.1948,80.9144,74.5305,75.5305,75.7601
2022,2022-04-01,1.0,80.9144,81.9144,73.3379,75.7601,76.7601,69.4167
2022,2022-06-01,1.0,73.3379,74.3379,73.7899,69.4167,70.4167,70.9246
2022,2022-08-01,1.0,73.7899,74.7899,64.8498,70.9246,71.9246,64.456
2022,2022-10-01,1.0,64.8498,65.8498,70.497,64.456,65.456,72.7352
2022,2022-12-01,1.0,70.497,71.497,76.2773,72.7352,73.7352,74.6957
2022,2023-02-01,1.0,76.2773,77.2773,83.287,74.6957,75.6957,76.0123
2023,2023-04-01,1.0,83.287,84.287,88.9071,76.0123,77.0123,79.0493
2023,2023-06-01,1.0,88.9071,89.9071,97.0113,79.0493,80.0493,86.9486
2023,2023-08-01,1.0,97.0113,98.0113,91.3101,86.9486,87.9486,82.6189
2023,2023-10-01,1.0,91.3101,92.3101,100.7852,82.6189,83.6189,89.8398
2023,2023-12-01,1.0,100.7852,101.7852,116.134,89.8398,90.8398,97.188
2023,2024-02-01,1.0,116.134,117.134,123.9815,97.188,98.188,105.1291
2024,2024-04-01,1.0,123.9815,124.9815,125.1821,105.1291,106.1291,107.2754
2024,2024-06-01,1.0,125.1821,126.1821,131.0613,107.2754,108.2754,111.755
2024,2024-08-01,1.0,131.0613,132.0613,136.9819,111.755,112.755,118.435
2024,2024-10-01,1.0,136.9819,137.9819,136.4984,118.435,119.435,126.7887
2024,2024-12-01,1.0,136.4984,137.4984,140.2734,126.7887,127.7887,126.974
2024,2025-02-01,1.0,140.2734,141.2734,127.073,126.974,127.974,120.4569
2025,2025-04-01,1.0,127.073,128.073,138.5366,120.4569,121.4569,128.329
2025,2025-06-01,1.0,138.5366,139.5366,136.7991,128.329,129.329,136.06
2025,2025-08-01,1.0,136.7991,137.7991,138.0297,136.06,137.06,147.7704
2025,2025-10-01,1.0,138.0297,139.0297,127.4263,147.7704,148.7704,151.401
2025,2025-12-01,1.0,127.4263,128.4263,128.2735,151.401,152.401,156.2532
2025,2026-02-01,1.0,128.2735,129.2735,114.8266,156.2532,157.2532,148.5742
