Date,SimFinId,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding
2023-01-26,59265,243.65,248.31,242.0,248.0,241.14,33454491,,7451000000.0
2023-01-27,59265,248.99,249.83,246.83,248.16,241.3,26498939,,7451000000.0
2023-01-30,59265,244.51,245.6,242.2,242.71,236.0,25867365,,7451000000.0
2023-01-31,59265,243.45,247.95,242.94,247.81,240.96,26541072,,7451000000.0
2023-02-01,59265,248.0,255.18,245.47,252.75,245.76,31259912,,7451000000.0
2023-02-02,59265,258.82,264.69,257.25,264.6,257.28,39940437,,7451000000.0
2023-02-03,59265,259.54,264.2,257.1,258.35,251.21,29077256,,7451000000.0
2023-02-06,59265,257.44,258.3,254.78,256.77,249.67,22517997,,7451000000.0
2023-02-07,59265,260.53,268.77,260.08,267.56,260.16,50841365,,7451000000.0
2023-02-08,59265,273.2,276.76,266.21,266.73,259.36,54686049,,7451000000.0
2023-02-09,59265,273.8,273.98,262.8,263.62,256.33,42375102,,7451000000.0
2023-02-10,59265,261.53,264.09,260.66,263.1,255.83,25818489,,7451000000.0
2023-02-13,59265,267.64,274.6,267.15,271.32,263.82,44630921,,7451000000.0
2023-02-14,59265,272.67,274.97,269.28,272.17,264.64,37047924,,7451000000.0
2023-02-15,59265,268.32,270.73,266.18,269.32,262.53,28962163,0.68,7451000000.0
2023-02-16,59265,264.02,266.74,261.9,262.15,255.55,29603616,,7451000000.0
2023-02-17,59265,259.39,260.09,256.0,258.06,251.56,30000055,,7451000000.0
2023-02-21,59265,254.48,255.49,251.59,252.67,246.3,28397444,,7451000000.0
2023-02-22,59265,254.09,254.34,250.34,251.51,245.17,22491056,,7451000000.0
2023-02-23,59265,255.56,256.84,250.48,254.77,248.35,29219095,,7451000000.0
2023-02-24,59265,249.96,251.0,248.1,249.22,242.94,24990905,,7451000000.0
2023-02-27,59265,252.46,252.82,249.39,250.16,243.86,21190042,,7451000000.0
2023-02-28,59265,249.07,251.49,248.73,249.42,243.14,22490950,,7451000000.0
2023-03-01,59265,250.76,250.93,245.79,246.27,240.07,27565259,,7451000000.0
2023-03-02,59265,246.55,251.4,245.61,251.11,244.78,24833646,,7451000000.0
2023-03-03,59265,252.19,255.62,251.39,255.29,248.86,30760136,,7451000000.0
2023-03-06,59265,256.43,260.12,255.98,256.87,250.4,24109849,,7451000000.0
2023-03-07,59265,256.3,257.69,253.39,254.15,247.75,21473179,,7451000000.0
2023-03-08,59265,254.04,254.54,250.81,253.7,247.31,17340217,,7451000000.0
2023-03-09,59265,255.82,259.56,251.58,252.32,245.96,26653387,,7451000000.0
2023-03-10,59265,251.08,252.79,247.6,248.59,242.33,28333930,,7451000000.0
2023-03-13,59265,247.4,257.91,245.73,253.92,247.52,33339721,,7451000000.0
2023-03-14,59265,256.75,261.07,255.86,260.79,254.22,33620293,,7451000000.0
2023-03-15,59265,259.98,266.48,259.21,265.44,258.75,46028047,,7451000000.0
2023-03-16,59265,265.2,276.56,263.28,276.2,269.24,54832140,,7451000000.0
2023-03-17,59265,278.26,283.33,276.32,279.43,272.39,69527371,,7451000000.0
2023-03-20,59265,276.98,277.48,269.85,272.23,265.37,43466649,,7451000000.0
2023-03-21,59265,274.88,275.0,269.52,273.78,266.88,34558704,,7451000000.0
2023-03-22,59265,273.4,281.04,272.18,272.29,265.43,34873330,,7451000000.0
2023-03-23,59265,277.94,281.06,275.2,277.66,270.66,36610879,,7451000000.0
2023-03-24,59265,277.24,280.63,275.28,280.57,273.5,28199962,,7451000000.0
2023-03-27,59265,280.5,281.46,275.52,276.38,269.42,26840212,,7451000000.0
2023-03-28,59265,275.79,276.14,272.05,275.23,268.3,21878647,,7451000000.0
2023-03-29,59265,278.96,281.14,278.41,280.51,273.44,25087032,,7451000000.0
2023-03-30,59265,284.23,284.46,281.48,284.05,276.89,25053410,,7451000000.0
2023-03-31,59265,283.73,289.27,283.0,288.3,281.04,32765976,,7451000000.0
2023-04-03,59265,286.52,288.27,283.95,287.23,279.99,24883342,,7451000000.0
2023-04-04,59265,287.23,290.45,285.67,287.18,279.94,25824299,,7451000000.0
2023-04-05,59265,285.85,287.15,282.92,284.34,277.18,22064770,,7451000000.0
2023-04-06,59265,283.21,292.08,282.03,291.6,284.25,29770334,,7451000000.0
2023-04-10,59265,289.21,289.6,284.71,289.39,282.1,23102994,,7451000000.0
2023-04-11,59265,285.75,285.98,281.64,282.83,275.7,27276589,,7451000000.0
