Date,SimFinId,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding
2022-09-02,217867,532.7,534.84,516.05,519.11,495.28,1901738,,443651000.0
2022-09-06,217867,520.16,523.15,512.53,518.9,495.08,1923979,,443651000.0
2022-09-07,217867,520.0,531.66,518.9,529.64,505.33,1827910,,443651000.0
2022-09-08,217867,524.33,533.03,521.56,529.12,504.83,1600759,,443651000.0
2022-09-09,217867,532.12,538.06,529.53,536.58,511.95,1931148,,443651000.0
2022-09-12,217867,537.73,542.6,537.0,539.52,514.76,1522447,,443651000.0
2022-09-13,217867,530.79,532.24,508.69,510.3,486.88,2881436,,443651000.0
2022-09-14,217867,513.86,514.01,503.12,508.0,484.68,2007258,,443651000.0
2022-09-15,217867,508.4,509.06,500.53,503.5,480.39,1749609,,443651000.0
2022-09-16,217867,499.57,506.44,497.3,504.14,481.0,3004815,,443651000.0
2022-09-19,217867,502.16,506.71,498.89,506.57,483.32,1441346,,443651000.0
2022-09-20,217867,503.0,503.43,493.42,499.52,476.59,1843072,,443651000.0
2022-09-21,217867,502.5,506.43,493.0,493.07,470.44,2082552,,443651000.0
2022-09-22,217867,494.0,494.0,484.41,487.17,464.81,2844109,,443651000.0
2022-09-23,217867,478.94,482.32,463.53,466.4,444.99,5377805,,443651000.0
2022-09-26,217867,465.87,484.11,465.21,480.3,458.25,4001938,,443651000.0
2022-09-27,217867,485.49,488.4,475.43,478.3,456.35,2412425,,443651000.0
2022-09-28,217867,481.53,491.55,474.19,488.29,465.88,2419497,,443651000.0
2022-09-29,217867,485.61,489.01,474.07,478.98,456.99,1963927,,443651000.0
2022-09-30,217867,480.66,483.83,471.87,472.27,450.59,2436707,,443651000.0
2022-10-03,217867,474.5,480.84,470.4,477.73,455.8,2338532,,443651000.0
2022-10-04,217867,483.83,488.02,480.73,486.13,463.82,2175570,,443651000.0
2022-10-05,217867,481.3,483.87,474.82,480.32,458.27,1587657,,443651000.0
2022-10-06,217867,483.45,493.88,481.92,482.49,460.34,2430699,,443651000.0
2022-10-07,217867,478.26,479.11,466.12,468.15,446.66,2568079,,443651000.0
2022-10-10,217867,469.69,470.25,461.61,466.31,444.91,1616272,,443651000.0
2022-10-11,217867,465.0,477.25,463.7,472.02,450.35,2341373,,443651000.0
2022-10-12,217867,474.32,479.74,466.3,466.38,444.97,2043932,,443651000.0
2022-10-13,217867,458.19,471.74,449.03,467.99,446.51,3390881,,443651000.0
2022-10-14,217867,472.03,473.39,453.79,454.65,433.78,2304733,,443651000.0
2022-10-17,217867,461.65,466.88,460.48,464.17,442.86,2097535,,443651000.0
2022-10-18,217867,473.2,476.52,468.83,473.27,451.55,1863980,,443651000.0
2022-10-19,217867,467.81,474.87,466.95,471.43,449.79,1207647,,443651000.0
2022-10-20,217867,471.0,472.08,462.91,464.62,443.29,1709509,,443651000.0
2022-10-21,217867,463.71,479.57,462.28,478.18,456.23,2508437,,443651000.0
2022-10-24,217867,481.61,498.0,481.01,496.97,474.16,2366235,,443651000.0
2022-10-25,217867,493.32,500.19,490.5,499.06,476.15,2130859,,443651000.0
2022-10-26,217867,498.0,507.42,495.69,499.45,476.53,2089915,,443651000.0
2022-10-27,217867,499.81,503.01,494.14,496.54,474.61,1576567,0.9,443651000.0
2022-10-28,217867,497.3,512.82,495.97,510.87,488.3,2369348,,443651000.0
2022-10-31,217867,509.63,509.63,500.5,501.5,479.35,2192211,,443651000.0
2022-11-01,217867,503.7,507.39,499.78,499.96,477.88,1586311,,443651000.0
2022-11-02,217867,497.8,503.24,483.27,483.51,462.15,2467966,,443651000.0
2022-11-03,217867,480.88,491.32,479.71,486.29,464.81,2010383,,443651000.0
2022-11-04,217867,490.4,492.63,476.49,486.41,464.92,1987258,,443651000.0
2022-11-07,217867,477.05,490.0,474.5,488.55,466.97,2036031,,443651000.0
2022-11-08,217867,490.73,498.26,484.51,492.76,470.99,1709907,,443651000.0
2022-11-09,217867,491.9,497.58,486.86,489.97,468.33,1640520,,443651000.0
2022-11-10,217867,504.95,514.85,501.4,513.13,490.46,3098317,,443651000.0
2022-11-11,217867,513.13,516.84,506.71,515.47,492.7,2393502,,443651000.0
2022-11-14,217867,515.77,520.7,509.42,509.68,487.17,1820240,,443651000.0
2022-11-15,217867,520.0,529.8,520.0,526.47,503.22,2502189,,443651000.0
2022-11-16,217867,521.31,528.56,520.17,524.11,500.96,1833590,,443651000.0
2022-11-17,217867,519.0,521.79,512.96,521.32,498.29,1903715,,443651000.0
2022-11-18,217867,526.87,529.54,518.19,523.67,500.54,1584684,,443651000.0
2022-11-21,217867,525.74,527.28,522.08,523.37,500.25,1268524,,443651000.0
2022-11-22,217867,529.96,532.8,526.68,531.95,508.45,1809067,,443651000.0
2022-11-23,217867,534.0,536.8,530.4,534.49,510.88,1288249,,443651000.0
2022-11-25,217867,534.16,535.86,533.07,533.66,510.09,744222,,443651000.0
2022-11-28,217867,530.89,536.25,528.94,530.92,507.47,1684701,,443651000.0
2022-11-29,217867,531.04,533.72,528.0,528.96,505.6,1685739,,443651000.0
2022-11-30,217867,527.41,542.58,522.14,539.25,515.43,3601779,,443837000.0
2022-12-01,217867,519.14,519.14,495.67,503.86,481.6,6970367,,443837000.0
2022-12-02,217867,498.52,498.97,492.11,494.53,472.69,3632096,,443837000.0
2022-12-05,217867,492.5,492.7,484.73,488.66,467.08,2455346,,443837000.0
2022-12-06,217867,490.66,491.47,477.17,481.16,459.91,2995894,,443837000.0
2022-12-07,217867,479.09,486.54,478.87,481.97,460.68,2072597,,443837000.0
2022-12-08,217867,482.9,483.33,473.5,481.42,460.16,2901019,,443837000.0
2022-12-09,217867,475.1,490.09,470.5,483.02,461.68,4211132,,443837000.0
2022-12-12,217867,482.73,487.82,480.67,487.68,466.14,2276351,,443837000.0
2022-12-13,217867,497.04,497.97,481.55,488.2,466.64,2626732,,443837000.0
2022-12-14,217867,488.86,491.69,481.04,483.52,462.16,2145018,,443837000.0
2022-12-15,217867,475.34,476.7,463.16,463.91,443.42,3439381,,443837000.0
2022-12-16,217867,461.26,464.79,456.88,461.45,441.07,4909204,,443837000.0
2022-12-19,217867,460.92,463.41,455.36,458.63,438.37,1939248,,443837000.0
2022-12-20,217867,456.56,460.25,452.53,457.82,437.6,1993675,,443837000.0
2022-12-21,217867,459.38,463.69,456.2,462.06,441.65,1462351,,443837000.0
2022-12-22,217867,458.65,460.4,453.39,458.71,438.45,1907717,,443837000.0
2022-12-23,217867,457.52,463.18,454.8,462.65,442.21,1229523,,443837000.0
2022-12-27,217867,464.4,464.7,457.11,458.5,438.25,1230839,,443837000.0
2022-12-28,217867,457.54,460.46,452.8,452.99,432.98,1324141,,443837000.0
2022-12-29,217867,455.63,459.0,453.46,456.53,436.36,1464967,,443837000.0
2022-12-30,217867,454.65,456.7,450.75,456.5,436.34,1803243,,443837000.0
2023-01-03,217867,458.0,458.8,447.9,453.28,433.26,1978075,,443837000.0
2023-01-04,217867,457.18,459.51,452.59,456.56,436.39,2097322,,443837000.0
2023-01-05,217867,454.54,456.43,449.62,450.19,430.3,2169298,,443837000.0
2023-01-06,217867,463.08,484.42,462.22,482.87,461.54,5174491,,443837000.0
2023-01-09,217867,482.93,486.87,478.14,478.75,457.6,2384764,,443837000.0
2023-01-10,217867,477.14,482.09,475.48,481.4,460.14,1649860,,443837000.0
2023-01-11,217867,480.33,484.52,479.11,484.31,462.92,1576394,,443837000.0
2023-01-12,217867,484.99,485.0,478.75,482.43,461.12,1628205,,443837000.0
2023-01-13,217867,480.89,485.59,479.0,485.25,463.82,1405912,,443837000.0
2023-01-17,217867,485.13,490.48,484.37,486.77,465.27,1539915,,443837000.0
2023-01-18,217867,484.81,488.81,478.52,479.47,458.29,1925470,,443837000.0
2023-01-19,217867,476.24,477.56,468.07,469.49,448.75,1919451,,443837000.0
2023-01-20,217867,473.92,480.32,469.47,480.11,458.9,2588637,,443837000.0
2023-01-23,217867,479.95,495.24,477.6,492.61,470.85,2709439,,443837000.0
2023-01-24,217867,492.05,493.6,487.01,492.11,470.37,1510226,,443837000.0
2023-01-25,217867,489.36,491.94,484.5,490.88,469.2,1329768,,443837000.0
2023-01-26,217867,493.2,498.67,491.77,498.3,476.29,1576405,,443837000.0
