Date,SimFinId,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding
2021-10-13,89661,157.82,160.08,157.75,159.2,139.16,6901589,,2633396003.0
2021-10-14,89661,159.71,161.14,159.6,160.11,139.96,4580894,,2633396003.0
2021-10-15,89661,161.03,161.81,160.41,161.3,141.0,6918407,,2633396003.0
2021-10-18,89661,160.25,160.89,159.2,160.12,139.97,7465461,,2633396003.0
2021-10-19,89661,160.9,165.15,160.72,163.87,143.25,10081294,,2633396003.0
2021-10-20,89661,163.98,164.75,163.26,163.78,143.17,6003177,,2633396003.0
2021-10-21,89661,164.3,164.39,162.28,163.4,142.84,4524127,,2633396003.0
2021-10-22,89661,163.06,164.06,162.96,163.72,143.12,4304467,,2633396003.0
2021-10-25,89661,163.72,164.31,161.71,164.08,143.43,6715399,,2633396003.0
2021-10-26,89661,164.56,166.03,164.05,165.75,144.89,6939057,,2633396003.0
2021-10-27,89661,165.68,165.76,163.31,163.74,143.13,7018787,,2633396003.0
2021-10-28,89661,163.77,165.2,162.32,162.85,142.36,6278844,,2633396003.0
2021-10-29,89661,162.35,163.25,160.61,162.88,142.38,8526806,,2633396003.0
2021-11-01,89661,163.16,163.98,159.4,163.02,142.5,5816789,,2633396003.0
2021-11-02,89661,163.7,166.98,162.98,165.59,144.75,8104160,,2633396003.0
2021-11-03,89661,165.04,165.77,163.43,165.06,144.29,6717787,,2633396003.0
2021-11-04,89661,164.94,164.99,162.67,164.6,143.89,8224377,,2633396003.0
2021-11-05,89661,162.48,164.6,162.2,163.43,142.86,6215911,,2633396003.0
2021-11-08,89661,163.68,164.17,162.01,162.87,142.37,5579037,,2633396003.0
2021-11-09,89661,162.61,163.59,162.02,162.51,142.06,6081653,,2633396003.0
2021-11-10,89661,162.53,164.84,162.35,164.27,143.6,6225098,,2633396003.0
2021-11-11,89661,163.49,163.81,162.49,163.06,142.54,4118791,,2633396003.0
2021-11-12,89661,167.43,167.62,164.61,165.01,144.24,17162354,,2633396003.0
2021-11-15,89661,165.0,165.46,163.22,163.52,142.94,7496205,,2633396003.0
2021-11-16,89661,163.18,164.35,162.62,162.67,142.2,7594717,,2633396003.0
2021-11-17,89661,162.87,163.86,161.79,163.28,142.73,5414474,,2633396003.0
2021-11-18,89661,163.45,164.47,162.13,162.4,141.96,6359664,,2633396003.0
2021-11-19,89661,163.04,163.19,161.78,162.89,142.39,7628928,,2633396003.0
2021-11-22,89661,161.03,162.64,159.65,159.7,140.53,7642322,1.06,2633396003.0
2021-11-23,89661,159.52,161.0,158.78,160.69,141.4,7735770,,2633396003.0
2021-11-24,89661,160.14,160.62,159.38,160.24,141.0,5230887,,2633396003.0
2021-11-26,89661,160.6,161.16,158.66,159.2,140.09,8523072,,2633396003.0
2021-11-29,89661,159.5,160.42,158.42,159.75,140.57,9188537,,2633396003.0
2021-11-30,89661,158.51,159.0,155.85,155.93,137.21,14981664,,2633396003.0
2021-12-01,89661,156.88,160.08,156.25,158.08,139.1,9836412,,2633396003.0
