ticker,name,slug,page_metric,report_type,page_url,file_url,file_name,report_year,source_href,status
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2018.pdf,1.ar.en.2018.pdf,2018,/annual-reports/1.ar.en.2018.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001564590-17-014900_msft-10k_20170630.pdf,0001564590-17-014900_msft-10k_20170630.pdf,2017,/annual-reports-10k/0001564590-17-014900_msft-10k_20170630.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2017.pdf,1.ar.en.2017.pdf,2017,/annual-reports/1.ar.en.2017.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-16-662209_d187868d10k.pdf,0001193125-16-662209_d187868d10k.pdf,2016,/annual-reports-10k/0001193125-16-662209_d187868d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2016.pdf,1.ar.en.2016.pdf,2016,/annual-reports/1.ar.en.2016.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-15-272806_d918813d10k.pdf,0001193125-15-272806_d918813d10k.pdf,2015,/annual-reports-10k/0001193125-15-272806_d918813d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2015.pdf,1.ar.en.2015.pdf,2015,/annual-reports/1.ar.en.2015.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-14-289961_d722626d10k.pdf,0001193125-14-289961_d722626d10k.pdf,2014,/annual-reports-10k/0001193125-14-289961_d722626d10k.pdf?save,ok
MSFT,Microsoft,microsoft,annual-reports,annual-report,https://companiesmarketcap.com/microsoft/annual-reports/,https://companiesmarketcap.com/annual-reports/1.ar.en.2014.pdf,1.ar.en.2014.pdf,2014,/annual-reports/1.ar.en.2014.pdf,ok
MSFT,Microsoft,microsoft,annual-reports-10k,10k,https://companiesmarketcap.com/microsoft/annual-reports-10k/,https://companiesmarketcap.com/annual-reports-10k/0001193125-13-310206_d527745d10k.pdf,0001193125-13-310206_d527745d10k.pdf,2013,/annual-reports-10k/0001193125-13-310206_d527745d10k.pdf?save,ok
