Variant,formation_year,ticker,baseline_rank,variant_rank,rank_change
Without operating_margin,2024,ASML,5,7,2
Without operating_margin,2024,COST,8,5,-3
Without operating_margin,2024,META,7,8,1
Without operating_margin,2025,COST,10,9,-1
Without operating_margin,2025,INTU,9,10,1
Without revenue_cagr,2015,GOOGL,8,10,2
Without revenue_cagr,2015,INTU,9,8,-1
Without revenue_cagr,2015,LRCX,5,6,1
Without revenue_cagr,2015,MA,1,2,1
Without revenue_cagr,2015,META,3,5,2
Without revenue_cagr,2015,MO,10,7,-3
Without revenue_cagr,2015,MSFT,2,3,1
Without revenue_cagr,2015,NKE,7,9,2
Without revenue_cagr,2015,TXN,6,1,-5
Without revenue_cagr,2016,ADBE,10,9,-1
Without revenue_cagr,2016,CRM,7,-,999
Without revenue_cagr,2016,LRCX,3,7,4
Without revenue_cagr,2016,MA,5,3,-2
Without revenue_cagr,2016,META,2,4,2
Without revenue_cagr,2016,MO,-,10,999
Without revenue_cagr,2016,SBUX,4,6,2
Without revenue_cagr,2016,TXN,6,2,-4
Without revenue_cagr,2016,V,9,5,-4
Without revenue_cagr,2017,AMZN,8,-,999
Without revenue_cagr,2017,CRM,4,6,2
Without revenue_cagr,2017,GOOGL,2,1,-1
Without revenue_cagr,2017,INTU,6,4,-2
Without revenue_cagr,2017,KLAC,-,10,999
Without revenue_cagr,2017,META,1,2,1
Without revenue_cagr,2017,NVDA,5,8,3
Without revenue_cagr,2017,SBUX,10,9,-1
Without revenue_cagr,2017,TXN,9,5,-4
Without revenue_cagr,2018,ADBE,4,5,1
Without revenue_cagr,2018,ASML,6,7,1
Without revenue_cagr,2018,INTU,5,1,-4
Without revenue_cagr,2018,KLAC,8,9,1
Without revenue_cagr,2018,LRCX,1,2,1
Without revenue_cagr,2018,META,3,4,1
Without revenue_cagr,2018,MO,-,10,999
Without revenue_cagr,2018,NVDA,2,3,1
Without revenue_cagr,2018,SBUX,9,8,-1
Without revenue_cagr,2018,TXN,7,6,-1
Without revenue_cagr,2018,V,10,-,999
Without revenue_cagr,2019,ADBE,5,8,3
Without revenue_cagr,2019,ASML,10,-,999
Without revenue_cagr,2019,INTU,3,1,-2
Without revenue_cagr,2019,KLAC,9,10,1
Without revenue_cagr,2019,LRCX,2,3,1
Without revenue_cagr,2019,MA,8,4,-4
